20/07/2026 18:41:18, -15826433, -47987204, 6d:ff:ad:7b:3b:f3, , -76, 11
20/07/2026 18:41:18, -15826433, -47987204, 51:cb:4f:6b:af:65, , -89, 11
20/07/2026 18:41:18, -15826433, -47987204, 04:e4:b6:fc:42:ca, , -87, 
20/07/2026 18:41:18, -15826433, -47987204, 3a:c5:1f:74:fc:37, , -90, 
20/07/2026 18:41:18, -15826433, -47987204, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -72, 
20/07/2026 18:41:18, -15826433, -47987204, d0:f7:57:04:97:1a, , -97, 
20/07/2026 18:41:18, -15826433, -47987204, 7f:36:62:7f:f7:68, , -69, 12
20/07/2026 18:41:19, -15826434, -47987205, c3:25:31:3f:6e:54, , -75, 
20/07/2026 18:41:19, -15826434, -47987205, db:d4:d8:de:ff:6b, , -89, 
20/07/2026 18:41:20, -15826435, -47987200, e9:bf:f2:93:30:3e, , -74, 
20/07/2026 18:41:23, -15826431, -47987199, e4:8e:6d:c7:5b:5c, , -96, 
20/07/2026 18:41:37, -15826431, -47987230, 01:c7:cf:31:14:f4, , -99, 
20/07/2026 18:41:39, -15826436, -47987214, 23:f2:6b:54:4c:66, , -97, 
20/07/2026 18:42:20, -15826425, -47987149, 42:96:3d:23:f8:b8, , -88, 12
20/07/2026 18:42:21, -15826426, -47987144, 60:b7:b2:86:e4:08, , -99, 12
20/07/2026 18:42:29, -15826426, -47987151, 56:f9:72:cd:6b:f9, , -99, 12
20/07/2026 18:42:49, -15826418, -47987168, 14:24:76:a8:d3:e5, , -101, 
20/07/2026 18:43:21, -15826410, -47987159, 72:dc:50:6b:78:e1, , -91, 
20/07/2026 18:43:22, -15826410, -47987160, 56:b9:2e:d3:96:48, , -86, 11
20/07/2026 18:43:31, -15826410, -47987167, 3d:32:a6:ca:1a:16, , -95, 
20/07/2026 18:43:31, -15826410, -47987167, 12:27:aa:e9:ec:4c, , -94, 
20/07/2026 18:43:32, -15826411, -47987169, 0c:5d:d6:f3:b9:4b, , -100, 
20/07/2026 18:44:40, -15826367, -47987128, 28:8b:67:36:95:dc, , -100, 
