20/07/2026 15:17:55, -15806006, -47931390, TAMIRES, -83, 4, WPA2
20/07/2026 15:17:55, -15806006, -47931390, VIVOFIBRA-DE21, -83, 6, WPA2
20/07/2026 15:17:55, -15806006, -47931390, CLARO_2G1E782C, -84, 1, WPA2
20/07/2026 15:17:55, -15806006, -47931390, DULCE, -84, 6, WPA2
20/07/2026 15:17:55, -15806006, -47931390, Apto311, -84, 8, WPA2
20/07/2026 15:17:55, -15806006, -47931390, Terra, -84, 8, WPA2
20/07/2026 15:17:55, -15806006, -47931390, Unculted_2.4G, -84, 9, WPA+WPA2
20/07/2026 15:17:55, -15806006, -47931390, Almeida, -85, 6, WPA2
20/07/2026 15:17:55, -15806006, -47931390, AP18-2G, -86, 6, WPA2
20/07/2026 15:17:55, -15806006, -47931390, JACI210, -86, 6, WPA2
20/07/2026 15:17:55, -15806006, -47931390, VIVOFIBRA-D341, -87, 6, WPA2
20/07/2026 15:17:55, -15806006, -47931390, RARE, -88, 1, WPA2
20/07/2026 15:17:55, -15806006, -47931390, VIVOFIBRA-5BB1, -88, 1, WPA2
20/07/2026 15:17:55, -15806006, -47931390, E513, -88, 1, WPA+WPA2
20/07/2026 15:17:55, -15806006, -47931390, Uaitche, -88, 3, WPA2
20/07/2026 15:17:55, -15806006, -47931390, JACI210, -89, 6, WPA2
20/07/2026 15:17:55, -15806006, -47931390, DGV-IoT, -89, 11, WPA+WPA2
20/07/2026 15:17:55, -15806006, -47931390, liza, -89, 11, WPA+WPA2
20/07/2026 15:17:55, -15806006, -47931390, Via Madri Salao, -90, 1, WPA2
20/07/2026 15:17:55, -15806006, -47931390, Apto311, -90, 8, WPA2
20/07/2026 15:17:55, -15806006, -47931390, oslo22, -90, 9, WPA2
20/07/2026 15:17:55, -15806006, -47931390, Claro77, -90, 9, WPA2
20/07/2026 15:17:55, -15806006, -47931390, Cesar-lima2, -90, 11, WPA2
20/07/2026 15:17:55, -15806006, -47931390, ViaMadriPortaria, -90, 11, WPA2
20/07/2026 15:17:55, -15806006, -47931390, VernileUnificada_2.4G, -90, 11, WPA2
20/07/2026 15:17:55, -15806006, -47931390, NET104AP, -90, 11, WPA+WPA2
20/07/2026 15:17:55, -15806006, -47931390, LuIgor1912, -91, 4, WPA2
20/07/2026 15:17:55, -15806006, -47931390, Apto402, -91, 7, WPA2
20/07/2026 15:17:55, -15806006, -47931390, E209_IoT, -91, 8, WPA+WPA2
20/07/2026 15:17:55, -15806006, -47931390, SRO, -91, 11, WPA2
20/07/2026 15:17:55, -15806006, -47931390, Via Madri Garagem, -92, 1, WPA2
20/07/2026 15:17:55, -15806006, -47931390, VIVOFIBRA-E970, -92, 1, WPA2
20/07/2026 15:17:55, -15806006, -47931390, casatc(2.4GHz), -92, 1, WPA2
20/07/2026 15:17:55, -15806006, -47931390, VIVOFIBRA-12B0, -92, 11, WPA2
20/07/2026 15:17:55, -15806006, -47931390, VIVOFIBRA-F651, -92, 11, WPA2
20/07/2026 15:17:55, -15806006, -47931390, [LG_Wall-Mount A/C]bf43, -93, 11, WPA2
20/07/2026 15:17:55, -15806006, -47931390, DEUS E MAIS, -94, 11, WPA2
