data_hora, lat, lon, sat, hdop, kmh, direcao, umidade, temp_dht, ac_x, ac_y, ac_z, gy_x, gy_y, gy_z
20/07/2026 15:00:08, -15824623, -47987564, 6, 1.31, 11.17, NNW, 30.7, 28.7, 2.82, -0.03, 10.98, -0.10, -0.07, -0.02
20/07/2026 15:00:18, -15824140, -47987787, 6, 1.31, 19.09, NNW, 30.3, 28.8, 1.08, -1.20, 11.39, -0.13, -0.03, -0.16
20/07/2026 15:00:29, -15823931, -47987426, 6, 1.31, 23.17, ENE, 30.0, 29.1, 2.36, 0.13, 10.64, -0.03, -0.05, -0.03
20/07/2026 15:00:40, -15823549, -47987231, 6, 1.31, 23.96, NNW, 29.4, 29.3, 3.09, -0.14, 11.19, -0.07, -0.03, -0.00
20/07/2026 15:00:50, -15822965, -47987442, 6, 1.31, 10.98, NNW, 29.3, 29.4, 2.48, -0.00, 10.50, -0.08, -0.00, -0.02
20/07/2026 15:01:01, -15822538, -47987541, 6, 1.31, 8.82, NNW, 29.0, 29.7, 2.33, -0.19, 10.80, -0.08, 0.00, -0.02
20/07/2026 15:01:08, -15822076, -47987735, 6, 1.31, 29.11, NNW, 28.8, 29.9, 2.39, -0.45, 11.09, -0.13, -0.00, -0.02
20/07/2026 15:01:19, -15821448, -47987973, 6, 1.31, 14.89, NNW, 28.3, 30.1, 1.29, 0.11, 11.37, -0.07, -0.04, -0.02
20/07/2026 15:01:30, -15821161, -47987841, 6, 1.31, 29.34, ENE, 28.1, 30.3, 3.29, 0.45, 10.61, -0.05, -0.03, -0.03
20/07/2026 15:01:40, -15820847, -47987378, 6, 1.31, 23.61, N, 27.6, 30.5, 3.40, 0.31, 10.57, -0.07, -0.02, 0.05
20/07/2026 15:01:51, -15820170, -47987624, 6, 1.30, 15.67, NNW, 27.6, 30.7, 1.03, -0.08, 11.27, -0.16, 0.02, -0.04
20/07/2026 15:02:01, -15819917, -47987654, 6, 1.30, 9.72, NE, 27.4, 30.9, 3.29, -0.47, 10.78, -0.10, -0.02, -0.14
20/07/2026 15:02:12, -15819980, -47987181, 6, 1.30, 29.52, ESE, 27.2, 31.1, 3.86, 0.59, 10.77, -0.10, -0.00, 0.09
20/07/2026 15:02:23, -15819730, -47986378, 6, 1.30, 40.52, N, 27.0, 31.3, 3.32, 1.47, 10.36, -0.13, 0.04, 0.10
20/07/2026 15:02:33, -15818732, -47986023, 6, 1.30, 42.78, NE, 26.4, 31.6, 1.68, -1.76, 10.92, -0.11, -0.02, -0.18
20/07/2026 15:02:44, -15818641, -47984738, 6, 1.30, 46.91, E, 25.8, 31.7, 2.19, 0.12, 11.16, -0.20, 0.04, -0.02
20/07/2026 15:02:54, -15818702, -47983764, 6, 1.30, 21.43, ESE, 25.6, 31.9, 1.55, 0.32, 11.16, -0.10, -0.02, -0.04
20/07/2026 15:03:05, -15818771, -47983547, 7, 1.30, 15.26, ESE, 25.9, 32.0, 3.26, -0.70, 10.99, -0.16, 0.02, -0.05
20/07/2026 15:03:16, -15818827, -47982864, 7, 1.30, 31.60, NE, 25.8, 32.1, 3.10, 1.86, 10.59, -0.01, -0.03, 0.22
20/07/2026 15:03:26, -15818008, -47982313, 7, 1.30, 48.63, NE, 25.4, 32.3, 2.93, 0.05, 11.05, -0.05, -0.04, -0.02
20/07/2026 15:03:37, -15817148, -47981187, 7, 1.30, 41.76, NE, 25.0, 32.4, 1.40, 0.52, 11.07, -0.12, 0.00, -0.02
20/07/2026 15:03:47, -15816838, -47980783, 7, 1.29, 3.20, NE, 24.8, 32.5, 2.06, 0.26, 11.00, -0.08, -0.02, -0.02
20/07/2026 15:04:05, -15816818, -47980714, 7, 1.03, 8.72, NE, 24.7, 32.7, 4.13, -0.22, 10.72, -0.07, -0.02, -0.02
20/07/2026 15:04:16, -15816273, -47979984, 7, 1.02, 46.06, NE, 24.5, 32.7, 3.06, -0.16, 10.86, -0.01, -0.07, -0.03
20/07/2026 15:04:27, -15815284, -47979169, 7, 1.02, 51.19, NNE, 24.0, 32.8, 3.32, 1.24, 10.89, -0.13, 0.02, 0.06
20/07/2026 15:04:37, -15813822, -47979171, 7, 1.02, 60.63, N, 23.7, 32.9, 2.28, -1.01, 10.88, -0.18, 0.02, -0.09
20/07/2026 15:04:48, -15812302, -47978405, 7, 1.02, 63.91, NE, 23.8, 33.1, 2.21, -0.24, 11.20, -0.13, -0.00, -0.04
20/07/2026 15:04:59, -15811336, -47976927, 7, 1.02, 64.23, NE, 23.5, 33.2, 2.48, 0.08, 10.84, -0.08, -0.02, -0.03
20/07/2026 15:05:09, -15810529, -47975531, 7, 1.02, 62.17, ENE, 23.3, 33.3, 2.20, 0.16, 11.16, -0.21, 0.06, -0.03
20/07/2026 15:05:20, -15809808, -47973908, 7, 1.02, 63.56, ENE, 23.2, 33.3, 2.27, -0.52, 11.15, -0.03, -0.05, -0.05
20/07/2026 15:05:30, -15809213, -47972375, 8, 0.90, 61.25, ENE, 23.2, 33.4, 2.14, -0.25, 10.83, -0.08, -0.02, -0.03
20/07/2026 15:05:41, -15808658, -47970846, 8, 0.90, 57.34, ENE, 23.0, 33.4, 3.01, 0.50, 11.15, 0.16, -0.17, -0.01
20/07/2026 15:05:52, -15808045, -47969183, 8, 0.90, 63.54, ENE, 23.3, 33.4, 2.61, 0.31, 10.89, -0.08, -0.02, -0.02
20/07/2026 15:06:02, -15807654, -47967825, 8, 0.90, 48.56, E, 23.4, 33.5, 2.68, -1.00, 11.30, -0.16, 0.02, -0.05
20/07/2026 15:06:13, -15807661, -47966510, 8, 0.90, 34.13, E, 23.1, 33.6, 2.91, 0.10, 10.67, -0.05, -0.05, -0.01
20/07/2026 15:06:23, -15807859, -47965334, 8, 0.90, 55.36, E, 22.8, 33.6, 2.87, -0.04, 10.84, -0.10, -0.00, -0.01
20/07/2026 15:06:34, -15808087, -47963632, 9, 0.89, 63.30, E, 22.6, 33.6, 2.70, -0.11, 10.69, -0.09, -0.01, -0.02
20/07/2026 15:06:44, -15808285, -47962084, 9, 0.89, 54.78, E, 22.3, 33.6, 2.00, -1.57, 10.76, -0.29, 0.10, -0.11
20/07/2026 15:06:55, -15808469, -47960523, 9, 0.89, 57.10, E, 22.2, 33.6, 2.57, -0.16, 11.07, -0.16, 0.02, -0.03
20/07/2026 15:07:06, -15808723, -47958841, 9, 0.89, 63.01, E, 22.2, 33.7, 2.60, 0.04, 11.15, -0.12, 0.00, -0.03
20/07/2026 15:07:16, -15808987, -47957151, 9, 0.89, 67.99, E, 22.2, 33.6, 2.49, 0.13, 11.22, -0.12, -0.02, -0.02
20/07/2026 15:07:27, -15809250, -47955202, 9, 0.89, 69.88, E, 22.1, 33.6, 2.53, -0.13, 10.83, -0.11, -0.01, -0.02
20/07/2026 15:07:37, -15809512, -47953423, 9, 0.89, 70.97, E, 22.1, 33.7, 2.64, 0.05, 11.02, -0.08, -0.03, -0.01
20/07/2026 15:07:48, -15809825, -47951380, 9, 0.89, 72.97, E, 22.0, 33.6, 2.45, -0.30, 11.14, -0.07, -0.03, -0.02
20/07/2026 15:07:59, -15810143, -47949275, 9, 0.89, 74.10, E, 22.1, 33.6, 2.77, 0.07, 10.42, -0.19, 0.05, -0.03
20/07/2026 15:08:09, -15810410, -47947457, 9, 0.99, 69.36, E, 22.1, 33.6, 2.16, 0.20, 10.51, -0.12, 0.01, -0.03
20/07/2026 15:08:20, -15810707, -47945529, 9, 0.89, 66.41, E, 22.1, 33.6, 2.92, 0.06, 10.90, -0.10, -0.01, -0.02
20/07/2026 15:08:30, -15810969, -47943831, 9, 0.89, 66.02, E, 22.0, 33.6, 2.69, 0.29, 11.03, -0.08, -0.03, -0.02
20/07/2026 15:08:41, -15811330, -47941977, 9, 0.89, 65.93, ESE, 21.9, 33.6, 2.33, -0.84, 10.87, -0.20, 0.02, -0.06
20/07/2026 15:08:52, -15811672, -47940229, 9, 0.89, 64.69, ENE, 21.9, 33.6, 3.07, 0.81, 10.46, -0.08, -0.01, 0.03
20/07/2026 15:09:02, -15810999, -47938631, 9, 0.89, 68.32, ENE, 21.9, 33.5, 2.64, 0.44, 11.29, -0.10, -0.02, -0.02
20/07/2026 15:09:13, -15810148, -47936901, 9, 0.89, 67.14, ENE, 22.2, 33.6, 2.69, -0.21, 11.43, -0.04, -0.04, -0.03
20/07/2026 15:09:24, -15809451, -47935160, 9, 0.90, 64.26, ENE, 22.2, 33.6, 2.50, 0.06, 11.40, -0.09, -0.02, -0.03
20/07/2026 15:09:34, -15808925, -47933646, 9, 0.90, 60.28, ENE, 22.1, 33.6, 2.82, 0.35, 11.24, -0.04, -0.04, -0.02
20/07/2026 15:09:45, -15808350, -47932044, 8, 0.90, 58.89, ENE, 22.2, 33.6, 2.79, 0.84, 10.47, -0.10, -0.02, -0.00
20/07/2026 15:09:55, -15807874, -47930639, 8, 0.90, 55.49, ENE, 22.2, 33.6, 2.77, 0.40, 10.32, 0.04, -0.07, -0.01
20/07/2026 15:10:06, -15807367, -47929112, 8, 0.90, 57.26, ENE, 22.2, 33.6, 2.65, -0.03, 10.85, -0.08, -0.03, -0.02
20/07/2026 15:10:17, -15807000, -47927781, 8, 0.90, 35.98, E, 22.1, 33.5, 1.11, -3.33, 10.90, -0.20, 0.03, -0.33
20/07/2026 15:10:27, -15807549, -47927862, 8, 0.90, 26.82, W, 22.2, 33.5, 1.81, -1.93, 11.39, -0.15, -0.04, -0.24
20/07/2026 15:10:38, -15806750, -47928587, 8, 0.90, 52.78, NNW, 22.2, 33.6, 2.88, -0.49, 10.76, -0.23, 0.06, -0.05
20/07/2026 15:10:48, -15805559, -47929324, 8, 0.90, 52.52, NNW, 22.1, 33.6, 3.35, 0.02, 10.85, 0.00, -0.07, 0.01
20/07/2026 15:10:59, -15804692, -47929921, 8, 0.90, 6.48, NNW, 22.2, 33.6, 2.45, -0.59, 10.89, -0.08, -0.02, -0.03
20/07/2026 15:11:10, -15804403, -47930115, 9, 0.90, 27.71, NNW, 22.3, 33.6, 3.50, -0.82, 10.92, -0.13, 0.03, -0.02
20/07/2026 15:11:20, -15804017, -47930382, 9, 0.90, 8.80, NNW, 22.3, 33.6, 4.80, -0.83, 10.26, -0.11, -0.00, -0.12
20/07/2026 15:11:31, -15803965, -47930853, 8, 0.99, 39.74, SW, 22.5, 33.6, 2.98, -1.58, 10.21, -0.00, -0.05, -0.12
20/07/2026 15:11:41, -15804563, -47931783, 8, 0.90, 34.43, SW, 22.4, 33.6, 1.36, -0.11, 11.38, -0.01, -0.05, -0.02
20/07/2026 15:11:52, -15805029, -47932342, 8, 0.90, 36.17, SSW, 22.3, 33.6, 3.05, 1.17, 11.35, -0.14, 0.04, 0.07
20/07/2026 15:12:03, -15805941, -47932690, 8, 0.90, 28.58, SSW, 22.3, 33.6, 1.76, -0.12, 11.07, -0.04, -0.04, -0.06
20/07/2026 15:12:13, -15806273, -47932884, 8, 0.90, 2.93, S, 22.3, 33.6, 1.68, 0.23, 11.00, -0.07, -0.03, 0.02
20/07/2026 15:12:24, -15806289, -47932725, 8, 0.90, 20.41, ENE, 22.3, 33.6, 3.80, 0.30, 10.81, -0.10, 0.01, 0.06
20/07/2026 15:12:35, -15805776, -47932321, 8, 0.90, 16.26, ENE, 22.3, 33.7, 2.39, -0.57, 11.00, -0.13, -0.03, -0.23
20/07/2026 15:12:45, -15805786, -47931941, 8, 0.90, 18.32, E, 22.2, 33.6, 2.06, -0.12, 10.58, -0.22, 0.05, -0.10
20/07/2026 15:12:56, -15805956, -47931644, 9, 0.90, 15.69, SSE, 22.3, 33.7, 2.18, 0.00, 11.02, -0.14, -0.02, -0.07
20/07/2026 15:13:06, -15806018, -47931395, 8, 0.90, 7.52, ENE, 22.3, 33.7, 2.45, 0.27, 10.81, -0.11, -0.00, -0.04
20/07/2026 15:13:17, -15805995, -47931318, 9, 1.00, 6.19, ENE, 22.2, 33.7, 2.77, 0.95, 10.95, -0.02, -0.01, 0.25
20/07/2026 15:13:48, -15805906, -47931327, 8, 0.90, 0.06, N, 22.2, 33.8, 2.49, 0.29, 10.96, -0.09, -0.02, -0.02
20/07/2026 15:14:18, -15805909, -47931375, 8, 1.07, 0.04, N, 22.4, 33.8, 2.47, 0.30, 10.97, -0.08, -0.02, -0.02
20/07/2026 15:14:49, -15805887, -47931399, 8, 1.07, 0.39, N, 22.6, 33.8, 2.52, 0.23, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:15:20, -15805831, -47931421, 9, 1.07, 0.07, N, 23.0, 33.9, 2.46, 0.28, 11.02, -0.08, -0.02, -0.02
20/07/2026 15:15:51, -15805859, -47931420, 8, 0.90, 0.11, N, 23.3, 34.0, 2.51, 0.18, 10.92, -0.08, -0.02, -0.02
20/07/2026 15:16:22, -15805913, -47931440, 7, 0.97, 0.41, N, 23.2, 34.0, 2.50, 0.24, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:16:53, -15805943, -47931430, 7, 0.97, 0.07, N, 23.2, 34.1, 2.49, 0.24, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:17:23, -15805961, -47931408, 8, 0.90, 0.13, N, 23.4, 34.3, 2.50, 0.25, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:17:54, -15806007, -47931391, 8, 0.97, 0.11, N, 23.4, 34.4, 2.49, 0.25, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:18:25, -15805991, -47931364, 8, 0.90, 0.24, N, 23.4, 34.5, 2.49, 0.25, 10.94, -0.09, -0.02, -0.02
20/07/2026 15:18:56, -15805966, -47931371, 8, 0.90, 0.15, N, 23.3, 34.6, 2.50, 0.25, 10.91, -0.09, -0.02, -0.02
20/07/2026 15:19:26, -15805932, -47931400, 8, 0.90, 0.07, N, 23.3, 34.7, 2.50, 0.24, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:19:57, -15805903, -47931394, 9, 0.90, 0.04, N, 23.3, 34.8, 2.49, 0.24, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:20:28, -15805937, -47931355, 8, 0.90, 0.06, N, 23.5, 35.0, 2.49, 0.25, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:20:58, -15805983, -47931312, 8, 0.90, 0.07, N, 23.5, 35.1, 2.50, 0.25, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:21:29, -15806042, -47931272, 8, 0.91, 0.09, N, 23.5, 35.2, 2.50, 0.25, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:22:00, -15806043, -47931261, 8, 0.91, 0.13, N, 23.5, 35.3, 2.50, 0.25, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:22:31, -15806040, -47931271, 9, 0.97, 0.11, N, 23.4, 35.4, 2.50, 0.25, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:23:01, -15806029, -47931280, 7, 1.01, 0.06, N, 23.4, 35.5, 2.49, 0.25, 10.91, -0.09, -0.02, -0.02
20/07/2026 15:23:32, -15806035, -47931284, 8, 0.97, 0.11, N, 23.4, 35.6, 2.50, 0.26, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:24:03, -15806020, -47931294, 8, 0.97, 0.06, N, 23.3, 35.6, 2.50, 0.25, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:24:33, -15805975, -47931327, 9, 0.98, 0.02, N, 23.3, 35.8, 2.50, 0.26, 10.94, -0.09, -0.02, -0.02
20/07/2026 15:25:04, -15805973, -47931320, 8, 0.91, 0.06, N, 23.2, 35.8, 2.50, 0.26, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:25:35, -15805993, -47931300, 8, 0.91, 0.19, N, 23.1, 35.9, 2.49, 0.25, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:26:06, -15805991, -47931277, 8, 0.98, 0.28, N, 23.4, 36.0, 2.49, 0.25, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:26:36, -15805982, -47931319, 8, 0.98, 0.19, N, 23.4, 36.0, 2.50, 0.25, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:27:07, -15805958, -47931333, 8, 1.07, 0.35, N, 23.4, 36.1, 2.50, 0.25, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:27:38, -15805975, -47931326, 8, 0.91, 0.26, N, 23.3, 36.2, 2.49, 0.26, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:28:08, -15805953, -47931314, 8, 0.92, 0.30, N, 23.2, 36.2, 2.49, 0.26, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:28:39, -15805960, -47931308, 9, 0.92, 0.52, N, 23.1, 36.3, 2.49, 0.26, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:29:10, -15805936, -47931347, 9, 0.92, 0.59, N, 23.2, 36.3, 2.50, 0.27, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:29:41, -15805957, -47931405, 7, 1.03, 0.44, N, 23.0, 36.4, 2.50, 0.26, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:29:54, -15805905, -47931381, 7, 1.00, 2.02, N, 23.1, 36.5, 2.50, 0.26, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:30:25, -15805852, -47931432, 7, 1.03, 0.56, N, 23.0, 36.5, 2.50, 0.26, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:30:56, -15805942, -47931332, 8, 0.92, 0.72, N, 23.1, 36.5, 2.50, 0.26, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:31:27, -15805954, -47931336, 8, 1.03, 0.26, N, 23.1, 36.5, 2.50, 0.27, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:31:58, -15805878, -47931363, 7, 1.07, 0.06, N, 23.1, 36.6, 2.50, 0.26, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:32:28, -15805839, -47931408, 9, 1.08, 1.26, N, 22.9, 36.6, 2.50, 0.26, 10.94, -0.09, -0.02, -0.02
20/07/2026 15:32:59, -15805868, -47931397, 8, 0.92, 0.37, NNW, 22.8, 36.6, 2.50, 0.26, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:33:30, -15805932, -47931379, 9, 0.93, 0.15, NNW, 22.9, 36.7, 2.50, 0.27, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:34:01, -15805936, -47931396, 8, 0.93, 0.70, NNW, 22.9, 36.7, 2.50, 0.26, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:34:31, -15805928, -47931358, 8, 0.93, 0.07, NNW, 23.0, 36.7, 2.50, 0.26, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:35:02, -15805925, -47931343, 8, 0.93, 0.33, NNW, 22.9, 36.7, 2.50, 0.26, 10.94, -0.09, -0.02, -0.02
20/07/2026 15:35:33, -15805944, -47931357, 7, 1.00, 0.33, NNW, 22.9, 36.7, 2.50, 0.26, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:36:04, -15805957, -47931436, 8, 0.99, 0.48, NNW, 23.0, 36.8, 2.50, 0.27, 10.94, -0.09, -0.02, -0.02
20/07/2026 15:36:35, -15805990, -47931376, 8, 0.93, 0.35, NNW, 23.0, 36.8, 2.50, 0.26, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:37:05, -15805940, -47931397, 8, 0.93, 0.87, NNW, 23.0, 36.8, 2.49, 0.27, 10.91, -0.09, -0.02, -0.02
20/07/2026 15:37:36, -15805922, -47931422, 8, 0.93, 0.31, NNW, 22.9, 36.8, 2.50, 0.27, 10.94, -0.09, -0.02, -0.02
20/07/2026 15:38:07, -15805933, -47931434, 9, 0.94, 0.26, NNW, 23.0, 36.8, 2.50, 0.26, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:38:38, -15805906, -47931454, 9, 1.08, 0.48, NNW, 23.0, 36.9, 2.49, 0.26, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:39:08, -15805727, -47931624, 8, 0.94, 0.04, NNW, 22.9, 36.9, 2.49, 0.26, 10.95, -0.09, -0.02, -0.02
20/07/2026 15:39:27, -15805699, -47931650, 8, 0.94, 2.56, NNW, 23.2, 37.0, 2.50, 0.27, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:39:41, -15805744, -47931627, 8, 1.09, 2.09, NNW, 22.9, 36.9, 2.51, 0.27, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:40:12, -15805822, -47931514, 8, 1.09, 1.43, NNW, 22.8, 36.9, 2.50, 0.27, 10.91, -0.09, -0.02, -0.02
20/07/2026 15:40:43, -15805896, -47931433, 7, 1.00, 0.17, NNW, 23.2, 37.0, 2.51, 0.28, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:41:14, -15805928, -47931422, 9, 1.05, 0.22, NNW, 23.2, 37.0, 2.50, 0.28, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:41:44, -15805948, -47931397, 8, 0.94, 0.09, NNW, 23.2, 37.0, 2.50, 0.28, 10.94, -0.09, -0.02, -0.02
20/07/2026 15:42:15, -15805957, -47931390, 8, 1.11, 0.20, NNW, 23.1, 37.0, 2.50, 0.28, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:42:28, -15806010, -47931386, 9, 0.91, 2.09, NNW, 23.2, 37.1, 2.50, 0.27, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:42:59, -15805966, -47931387, 9, 0.91, 0.24, NNW, 23.1, 37.1, 2.50, 0.28, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:43:29, -15805932, -47931385, 8, 1.05, 0.65, NNW, 23.1, 37.0, 2.50, 0.28, 10.94, -0.09, -0.02, -0.02
20/07/2026 15:44:00, -15806009, -47931417, 6, 1.38, 0.94, NNW, 22.9, 37.0, 2.50, 0.28, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:44:31, -15805876, -47931377, 9, 0.95, 0.11, NNW, 23.0, 37.1, 2.50, 0.28, 10.94, -0.09, -0.02, -0.02
20/07/2026 15:45:02, -15805970, -47931361, 9, 0.91, 0.31, NNW, 23.0, 37.1, 2.50, 0.28, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:45:33, -15805917, -47931371, 8, 1.00, 0.46, NNW, 23.0, 37.1, 2.50, 0.28, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:46:04, -15805932, -47931372, 9, 1.01, 0.43, NNW, 22.9, 37.1, 2.51, 0.28, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:46:34, -15805914, -47931378, 9, 0.96, 0.37, NNW, 23.0, 37.1, 2.50, 0.28, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:47:05, -15805920, -47931344, 9, 0.96, 0.83, NNW, 23.0, 37.2, 2.50, 0.28, 10.94, -0.09, -0.02, -0.02
20/07/2026 15:47:36, -15805993, -47931303, 8, 1.05, 0.37, NNW, 23.0, 37.2, 2.51, 0.28, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:48:07, -15806057, -47931335, 9, 0.92, 0.65, NNW, 23.0, 37.2, 2.50, 0.27, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:48:37, -15805986, -47931352, 9, 0.93, 0.59, NNW, 23.0, 37.1, 2.50, 0.28, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:48:51, -15805944, -47931341, 9, 0.93, 2.00, NNW, 23.0, 37.2, 2.50, 0.28, 10.92, -0.09, -0.02, -0.02
20/07/2026 15:49:22, -15805992, -47931368, 8, 0.89, 0.69, NNW, 22.8, 37.2, 2.49, 0.28, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:49:53, -15806054, -47931354, 10, 0.85, 0.07, NNW, 22.8, 37.2, 2.51, 0.28, 10.94, -0.09, -0.02, -0.02
20/07/2026 15:50:23, -15806117, -47931319, 10, 0.85, 0.59, NNW, 22.7, 37.2, 2.49, 0.28, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:50:54, -15806094, -47931329, 9, 0.85, 0.22, NNW, 22.7, 37.2, 2.51, 0.28, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:51:10, -15806062, -47931359, 8, 1.12, 2.15, NNW, 22.7, 37.1, 2.50, 0.29, 10.94, -0.09, -0.02, -0.02
20/07/2026 15:51:41, -15806017, -47931403, 9, 1.22, 0.54, NNW, 22.7, 37.2, 2.50, 0.28, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:52:12, -15805976, -47931406, 8, 0.92, 0.19, NNW, 22.6, 37.1, 2.50, 0.28, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:52:43, -15805968, -47931410, 9, 1.14, 0.33, NNW, 22.5, 37.2, 2.49, 0.28, 10.94, -0.09, -0.02, -0.02
20/07/2026 15:53:13, -15805966, -47931427, 8, 0.87, 0.87, NNW, 22.5, 37.2, 2.49, 0.28, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:53:44, -15805962, -47931438, 9, 1.15, 0.44, NNW, 22.6, 37.1, 2.50, 0.28, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:54:15, -15805991, -47931410, 10, 0.79, 0.22, NNW, 22.7, 37.1, 2.50, 0.28, 10.93, -0.08, -0.02, -0.02
20/07/2026 15:54:46, -15805988, -47931430, 9, 0.86, 0.06, NNW, 22.8, 37.1, 2.50, 0.28, 10.92, -0.08, -0.02, -0.02
20/07/2026 15:55:17, -15806061, -47931402, 9, 0.95, 0.52, NNW, 22.8, 37.1, 2.49, 0.28, 10.91, -0.09, -0.02, -0.02
20/07/2026 15:55:47, -15806046, -47931404, 10, 0.94, 0.28, NNW, 22.8, 37.1, 2.49, 0.29, 10.93, -0.09, -0.02, -0.02
20/07/2026 15:56:18, -15806012, -47931449, 9, 0.86, 0.35, NNW, 22.8, 37.1, 2.49, 0.30, 10.93, -0.09, -0.02, -0.02
