data_hora, lat, lon, sat, hdop, kmh, direcao, umidade, temp_dht, ac_x, ac_y, ac_z, gy_x, gy_y, gy_z
20/07/2026 14:56:52, -15826256, -47987491, 4, 1.70, 1.17, N, 37.9, 25.5, 2.57, -0.09, 10.88, -0.08, -0.02, -0.02
20/07/2026 14:57:23, -15826278, -47987493, 6, 1.33, 0.61, N, 38.0, 25.9, 2.60, -0.01, 10.86, -0.08, -0.02, -0.02
20/07/2026 14:57:53, -15826304, -47987474, 6, 1.32, 0.33, N, 37.4, 26.4, 2.59, -0.03, 10.86, -0.09, -0.01, -0.02
20/07/2026 14:58:19, -15826292, -47987398, 6, 1.32, 2.89, WNW, 36.5, 26.8, 2.73, 0.17, 10.85, -0.09, -0.03, -0.09
20/07/2026 14:58:30, -15826275, -47987440, 6, 1.32, 2.26, WNW, 36.5, 27.0, 2.87, -0.07, 10.84, -0.12, -0.01, -0.06
20/07/2026 14:58:41, -15826410, -47987381, 6, 1.32, 8.43, SSE, 35.3, 27.1, 3.00, -0.10, 10.38, -0.09, -0.02, -0.01
20/07/2026 14:58:51, -15826634, -47987287, 6, 1.32, 8.96, SSE, 35.0, 27.3, 3.01, 1.08, 11.11, -0.03, 0.01, 0.11
20/07/2026 14:59:02, -15826685, -47987075, 6, 1.32, 9.96, ENE, 34.9, 27.5, 2.53, 0.34, 10.91, -0.12, 0.00, -0.01
20/07/2026 14:59:13, -15826646, -47986934, 5, 1.53, 2.93, ENE, 34.4, 27.7, 1.90, 0.20, 11.12, -0.04, -0.04, -0.02
20/07/2026 14:59:25, -15826651, -47986930, 5, 1.53, 2.09, ENE, 33.7, 27.8, 2.95, 0.03, 10.89, -0.06, -0.02, -0.01
20/07/2026 14:59:36, -15826286, -47986935, 6, 1.32, 17.06, NNW, 33.2, 28.1, 3.20, -0.24, 10.81, -0.07, -0.02, -0.02
20/07/2026 14:59:47, -15825609, -47987182, 6, 1.32, 27.09, NNW, 32.2, 28.3, 2.15, -0.40, 10.78, -0.11, -0.00, -0.02
20/07/2026 14:59:57, -15825190, -47987350, 6, 1.31, 20.83, NNW, 31.1, 28.4, 3.30, -0.27, 10.94, -0.13, 0.00, -0.02
