---, 0, 0, 1f:0e:12:df:e4:32, , -93, 
19/07/2026 17:12:49, -15826418, -47987116, 04:e8:63:63:5f:c0, , -88, 
19/07/2026 17:12:49, -15826418, -47987116, 23:38:5d:d1:26:de, , -91, 
19/07/2026 17:12:53, -15826420, -47987114, c2:5f:94:cc:bd:4c, , -95, 
19/07/2026 17:12:56, -15826418, -47987115, 3d:72:66:3c:a6:25, , -96, 
19/07/2026 17:12:56, -15826418, -47987115, 01:4c:ef:88:a3:fe, , -96, 
19/07/2026 17:13:11, -15826421, -47987112, 04:e4:b6:fc:42:ca, 50" Crystal UHD, -75, 
19/07/2026 17:13:11, -15826421, -47987112, cb:28:15:79:72:90, Amazfit GTR 2, -83, 
19/07/2026 17:13:11, -15826421, -47987112, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -65, 
19/07/2026 17:13:14, -15826419, -47987113, 04:e8:63:63:5f:c0, , -92, 
19/07/2026 17:13:16, -15826418, -47987114, c2:5f:94:cc:bd:4c, , -85, 
19/07/2026 17:13:20, -15826416, -47987115, 16:0f:32:b9:82:2f, , -94, 
19/07/2026 17:13:21, -15826416, -47987116, 23:38:5d:d1:26:de, , -96, 
19/07/2026 17:13:24, -15826415, -47987117, db:8c:36:7e:ce:a2, , -87, 
19/07/2026 17:13:29, -15826414, -47987120, c9:f5:19:b8:e8:ae, , -98, 
19/07/2026 17:13:32, -15826414, -47987122, 5e:35:8f:f1:4c:0e, , -84, 11
19/07/2026 17:13:38, -15826416, -47987126, 46:08:3d:f5:de:9c, , -84, 
19/07/2026 17:13:48, -15826415, -47987137, 04:e4:b6:fc:42:ca, , -76, 
19/07/2026 17:13:48, -15826415, -47987137, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -68, 
19/07/2026 17:13:50, -15826415, -47987138, ef:2d:d7:a6:72:75, , -95, 
19/07/2026 17:13:54, -15826417, -47987138, 16:0f:32:b9:82:2f, , -88, 
19/07/2026 17:13:59, -15826417, -47987140, 01:4c:ef:88:a3:fe, , -92, 
19/07/2026 17:14:00, -15826416, -47987139, 23:38:5d:d1:26:de, , -93, 
19/07/2026 17:14:02, -15826415, -47987140, 69:79:60:ea:6d:ed, , -99, 12
19/07/2026 17:14:04, -15826414, -47987139, cb:28:15:79:72:90, , -83, 
19/07/2026 17:14:06, -15826414, -47987142, 3d:72:66:3c:a6:25, , -93, 
19/07/2026 17:14:26, -15826405, -47987152, 04:e4:b6:fc:42:ca, , -74, 
19/07/2026 17:14:26, -15826405, -47987152, 01:4c:ef:88:a3:fe, , -93, 
19/07/2026 17:14:26, -15826405, -47987152, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -72, 
19/07/2026 17:14:27, -15826405, -47987156, cb:28:15:79:72:90, Amazfit GTR 2, -84, 
19/07/2026 17:14:28, -15826405, -47987157, 16:0f:32:b9:82:2f, , -91, 
19/07/2026 17:14:29, -15826406, -47987158, 23:38:5d:d1:26:de, , -90, 
19/07/2026 17:14:31, -15826406, -47987162, 3d:72:66:3c:a6:25, , -88, 
19/07/2026 17:14:38, -15826414, -47987156, db:8c:36:7e:ce:a2, , -94, 
19/07/2026 17:14:42, -15826415, -47987152, ef:2d:d7:a6:72:75, , -99, 
19/07/2026 17:14:46, -15826415, -47987149, 69:79:60:ea:6d:ed, , -97, 12
19/07/2026 17:14:53, -15826414, -47987150, 45:eb:5e:3a:e2:62, , -92, 12
19/07/2026 17:15:03, -15826408, -47987132, 04:e4:b6:fc:42:ca, 50" Crystal UHD, -75, 
19/07/2026 17:15:03, -15826408, -47987132, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -65, 
19/07/2026 17:15:05, -15826407, -47987132, db:8c:36:7e:ce:a2, , -87, 
19/07/2026 17:15:09, -15826408, -47987139, 5e:35:8f:f1:4c:0e, , -84, 11
19/07/2026 17:15:10, -15826409, -47987140, cb:28:15:79:72:90, Amazfit GTR 2, -86, 
19/07/2026 17:15:15, -15826409, -47987140, d6:47:e2:45:c1:c7, , -87, 
19/07/2026 17:15:19, -15826411, -47987141, 1e:d0:b0:3a:34:fc, , -95, 
19/07/2026 17:15:20, -15826411, -47987141, 01:4c:ef:88:a3:fe, , -94, 
19/07/2026 17:15:25, -15826412, -47987141, 23:38:5d:d1:26:de, , -96, 
19/07/2026 17:15:25, -15826412, -47987141, d8:26:0f:a5:a0:bf, , -91, 
19/07/2026 17:15:30, -15826414, -47987141, 16:0f:32:b9882:2f, , -95, 
19/07/2026 17:15:41, -15826417, -47987155, 04:e4:b6:fc:42:ca, , -76, 
19/07/2026 17:15:41, -15826417, -47987155, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -71, 
19/07/2026 17:15:42, -15826418, -47987154, 16:0f:32:b9:82:2f, , -94, 
19/07/2026 17:15:43, -15826419, -47987152, 1e:d0:b0:3a:34:fc, , -92, 
19/07/2026 17:15:43, -15826419, -47987152, f9:08:15:aa:31:fd, , -89, 
19/07/2026 17:15:47, -15826418, -47987153, cb:28:15:79:72:90, Amazfit GTR 2, -83, 
19/07/2026 17:15:49, -15826418, -47987150, 01:4c:ef:88:a3:fe, , -90, 
19/07/2026 17:15:52, -15826418, -47987148, 5e:35:8f:f1:4c:0e, , -87, 11
19/07/2026 17:15:53, -15826418, -47987148, 23:38:5d:d1:26:de, , -91, 
19/07/2026 17:16:01, -15826415, -47987145, d8:26:0f:a5:a0:bf, , -92, 
19/07/2026 17:16:03, -15826414, -47987146, 69:79:60:ea:6d:ed, , -97, 12
19/07/2026 17:16:07, -15826412, -47987150, 45:eb:5e:3a:e2:62, , -90, 12
19/07/2026 17:16:18, -15826409, -47987161, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -67, 
19/07/2026 17:16:18, -15826409, -47987161, 04:e4:b6:fc:42:ca, , -72, 
19/07/2026 17:16:18, -15826409, -47987161, 16:0f:32:b9:82:2f, , -92, 
19/07/2026 17:16:18, -15826409, -47987161, 5e:35:8f:f1:4c:0e, , -86, 11
19/07/2026 17:16:18, -15826409, -47987161, f9:08:15:aa:31:fd, , -94, 
19/07/2026 17:16:18, -15826409, -47987161, 1e:d0:b0:3a:34:fc, , -97, 
19/07/2026 17:16:18, -15826409, -47987161, d6:47:e2:45:c1:c7, , -87, 
19/07/2026 17:16:21, -15826407, -47987160, cb:28:15:79:72:90, Amazfit GTR 2, -83, 
19/07/2026 17:16:21, -15826407, -47987160, 12:99:5d:da:07:14, , -97, 
19/07/2026 17:16:21, -15826407, -47987160, 06:fa:b1:ff:5b:5a, , -101, 
19/07/2026 17:16:41, -15826406, -47987140, 1e:7a:7f:14:ce:c1, , -92, 
19/07/2026 17:16:56, -15826400, -47987140, 04:e4:b6:fc:42:ca, , -75, 
19/07/2026 17:16:56, -15826400, -47987140, 16:0f:32:b9:82:2f, , -91, 
19/07/2026 17:16:56, -15826400, -47987140, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -75, 
19/07/2026 17:16:57, -15826401, -47987140, 1e:7a:7f:14:ce:c1, , -88, 
19/07/2026 17:17:01, -15826402, -47987144, 4b:a8:3d:04:af:8f, , -97, 11
19/07/2026 17:17:02, -15826402, -47987145, 45:eb:5e:3a:e2:62, , -91, 12
19/07/2026 17:17:06, -15826401, -47987150, 5e:35:8f:f1:4c:0e, , -89, 11
19/07/2026 17:17:06, -15826401, -47987150, cb:28:15:79:72:90, Amazfit GTR 2, -83, 
19/07/2026 17:17:22, -15826399, -47987157, f9:08:15:aa:31:fd, , -92, 
19/07/2026 17:17:23, -15826399, -47987157, d8:26:0f:a5:a0:bf, , -92, 
19/07/2026 17:17:25, -15826399, -47987158, 69:79:60:ea:6d:ed, , -98, 12
19/07/2026 17:17:33, -15826398, -47987160, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -66, 
19/07/2026 17:17:33, -15826398, -47987160, 16:0f:32:b9:82:2f, , -91, 
19/07/2026 17:17:33, -15826398, -47987160, 5d:2c:6b:72:c0:32, , -94, 11
19/07/2026 17:17:33, -15826398, -47987160, 04:e4:b6:fc:42:ca, , -73, 
19/07/2026 17:17:33, -15826398, -47987160, 1e:7a:7f:14:ce:c1, , -85, 
19/07/2026 17:17:33, -15826398, -47987160, d6:47:e2:45:c1:c7, , -95, 
19/07/2026 17:17:35, -15826398, -47987161, d8:26:0f:a5:a0:bf, , -88, 
19/07/2026 17:17:44, -15826393, -47987151, 45:eb:5e:3a:e2:62, , -95, 12
19/07/2026 17:17:56, -15826391, -47987142, f9:08:15:aa:31:fd, , -91, 
19/07/2026 17:18:00, -15826390, -47987143, 12:99:5d:da:07:14, , -98, 
19/07/2026 17:18:01, -15826391, -47987142, 06:fa:b1:ff:5b:5a, , -98, 
19/07/2026 17:18:03, -15826392, -47987144, cb:28:15:79:72:90, Amazfit GTR 2, -83, 
19/07/2026 17:18:11, -15826391, -47987141, 45:eb:5e:3a:e2:62, , -81, 12
19/07/2026 17:18:11, -15826391, -47987141, 04:e4:b6:fc:42:ca, , -73, 
19/07/2026 17:18:11, -15826391, -47987141, 5d:2c:6b:72:c0:32, , -94, 11
19/07/2026 17:18:11, -15826391, -47987141, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -76, 
19/07/2026 17:18:11, -15826391, -47987141, cb:28:15:79:72:90, Amazfit GTR 2, -83, 
19/07/2026 17:18:12, -15826391, -47987142, 69:79:60:ea:6d:ed, , -95, 12
19/07/2026 17:18:15, -15826393, -47987141, 16:0f:32:b9:82:2f, , -96, 
19/07/2026 17:18:16, -15826394, -47987143, d8:26:0f:a5:a0:bf, , -95, 
19/07/2026 17:18:17, -15826395, -47987142, d6:47:e2:45:c1:c7, , -89, 
19/07/2026 17:18:22, -15826399, -47987147, 1e:7a:7f:14:ce:c1, , -94, 
19/07/2026 17:18:23, -15826401, -47987147, 02:bd:5e:42:f4:6e, , -97, 
19/07/2026 17:18:28, -15826406, -47987148, 7d:3b:40:a3:aa:f8, , -96, 11
19/07/2026 17:18:30, -15826405, -47987147, 2a:a6:19:f5:f5:79, , -94, 
19/07/2026 17:18:30, -15826405, -47987147, 15:27:fb:0b:dc:4f, , -96, 
19/07/2026 17:18:48, -15826393, -47987150, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -67, 
19/07/2026 17:18:48, -15826393, -47987150, 04:e4:b6:fc:42:ca, , -76, 
19/07/2026 17:18:50, -15826392, -47987152, cb:28:15:79:72:90, Amazfit GTR 2, -84, 
19/07/2026 17:18:52, -15826391, -47987156, 69:79:60:ea:6d:ed, , -93, 12
19/07/2026 17:18:55, -15826391, -47987159, 16:0f:32:b9:82:2f, , -95, 
19/07/2026 17:19:01, -15826395, -47987163, 15:27:fb:0b:dc:4f, , -98, 
19/07/2026 17:19:03, -15826396, -47987164, 1e:7a:7f:14:ce:c1, , -97, 
19/07/2026 17:19:04, -15826397, -47987165, 7d:3b:40:a3:aa:f8, , -94, 11
19/07/2026 17:19:06, -15826399, -47987165, d6:47:e2:45:c1:c7, , -90, 
19/07/2026 17:19:06, -15826399, -47987165, 02:bd:5e:42:f4:6e, , -95, 
19/07/2026 17:19:06, -15826399, -47987165, 2a:a6:19:f5:f5:79, , -96, 
19/07/2026 17:19:26, -15826387, -47987147, 04:e4:b6:fc:42:ca, , -76, 
19/07/2026 17:19:26, -15826387, -47987147, 16:0f:32:b9:82:2f, , -96, 
19/07/2026 17:19:26, -15826387, -47987147, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -73, 
19/07/2026 17:19:26, -15826387, -47987147, 15:27:fb:0b:dc:4f, , -97, 
19/07/2026 17:19:27, -15826385, -47987136, 02:bd:5e:42:f4:6e, , -100, 
19/07/2026 17:19:28, -15826385, -47987135, d8:26:0f:a5:a0:bf, , -98, 
19/07/2026 17:19:28, -15826385, -47987135, 1e:7a:7f:14:ce:c1, , -96, 
19/07/2026 17:19:30, -15826383, -47987136, 5d:2c:6b:72:c0:32, , -91, 11
19/07/2026 17:19:30, -15826383, -47987136, cb:28:15:79:72:90, Amazfit GTR 2, -84, 
19/07/2026 17:19:33, -15826382, -47987138, d6:47:e2:45:c1:c7, , -88, 
19/07/2026 17:19:46, -15826382, -47987141, c8:9c:ff:8d:45:f2, , -96, 
19/07/2026 17:19:48, -15826382, -47987145, f9:08:15:aa:31:fd, , -88, 
19/07/2026 17:19:53, -15826391, -47987149, 2a:a6:19:f5:f5:79, , -97, 
19/07/2026 17:20:04, -15826400, -47987153, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -67, 
19/07/2026 17:20:04, -15826400, -47987153, 04:e4:b6:fc:42:ca, 50" Crystal UHD, -79, 
19/07/2026 17:20:04, -15826400, -47987153, 16:0f:32:b9:82:2f, , -95, 
19/07/2026 17:20:05, -15826400, -47987154, d6:47:e2:45:c1:c7, , -93, 
19/07/2026 17:20:08, -15826400, -47987153, cb:28:15:79:72:90, Amazfit GTR 2, -84, 
19/07/2026 17:20:09, -15826401, -47987153, 1e:7a:7f:14:ce:c1, , -94, 
