---, 0, 0, 1f:0e:12:df:e4:32, , -93, 
---, 0, 0, 04:e4:b6:fc:42:ca, 50" Crystal UHD, -74, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -66, 
---, 0, 0, 5d:2c:6b:72:c0:32, , -93, 11
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -84, 
19/07/2026 17:27:02, -15826409, -47987148, f9:08:15:aa:31:fd, , -94, 
19/07/2026 17:27:02, -15826409, -47987148, d6:47:e2:45:c1:c7, , -95, 
19/07/2026 17:27:12, -15826407, -47987185, 78:46:64:15:a3:1c, , -96, 12
19/07/2026 17:27:13, -15826408, -47987187, 07:1e:cd:f5:b5:a4, , -101, 
19/07/2026 17:27:15, -15826407, -47987189, 01:82:20:3e:9d:7b, , -102, 
19/07/2026 17:27:16, -15826407, -47987186, d8:26:0f:a5:a0:bf, , -95, 
---, 0, 0, 5d:2c:6b:72:c0:32, , -93, 11
---, 0, 0, 04:e4:b6:fc:42:ca, 50" Crystal UHD, -78, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -84, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -67, 
---, 0, 0, f9:08:15:aa:31:fd, , -89, 
19/07/2026 17:27:40, -15826412, -47987201, d8:26:0f:a5:a0:bf, , -101, 
19/07/2026 17:27:41, -15826412, -47987201, 07:1e:cd:f5:b5:a4, , -101, 
19/07/2026 17:27:42, -15826412, -47987201, d6:47:e2:45:c1:c7, , -95, 
19/07/2026 17:27:42, -15826412, -47987201, 01:82:20:3e:9d:7b, , -98, 
19/07/2026 17:27:49, -15826411, -47987186, db:51:ff:0e:57:f6, , -103, 
19/07/2026 17:27:59, -15826416, -47987165, 78:46:64:15:a3:1c, , -97, 12
---, 0, 0, 04:e4:b6:fc:42:ca, , -74, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -68, 
---, 0, 0, 5d:2c:6b:72:c0:32, , -86, 11
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -84, 
19/07/2026 17:28:19, -15826407, -47987161, d6:47:e2:45:c1:c7, , -95, 
19/07/2026 17:28:20, -15826407, -47987160, f9:08:15:aa:31:fd, , -101, 
19/07/2026 17:28:21, -15826406, -47987160, 07:1e:cd:f5:b5:a4, , -102, 
19/07/2026 17:28:22, -15826405, -47987155, d8:26:0f:a5:a0:bf, , -92, 
19/07/2026 17:28:24, -15826402, -47987148, fa:63:ab:f1:a2:e7, , -95, 
19/07/2026 17:28:25, -15826402, -47987145, 5e:59:78:0f:c9:7f, , -100, 12
19/07/2026 17:28:31, -15826398, -47987148, 1d:f4:9f:35:bd:af, , -99, 
19/07/2026 17:28:44, -15826401, -47987159, d8:80:3c:c5:66:36, Amazfit T-Rex 3, -94, 
19/07/2026 17:28:45, -15826401, -47987160, 78:46:64:15:a3:1c, , -98, 12
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -93, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -72, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -86, 
---, 0, 0, f9:08:15:aa:31:fd, , -94, 
19/07/2026 17:32:05, -15826414, -47987092, da:db:c6:d4:c8:f9, , -94, 
19/07/2026 17:32:06, -15826413, -47987098, 43:9a:fb:23:37:2a, , -93, 11
19/07/2026 17:32:07, -15826412, -47987102, c9:b7:af:9e:d0:69, , -97, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -81, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -70, 
19/07/2026 17:32:41, -15826395, -47987168, f3:a5:fd:a8:b2:89, , -99, 
19/07/2026 17:32:42, -15826396, -47987169, cb:28:15:79:72:90, Amazfit GTR 2, -92, 
19/07/2026 17:32:43, -15826396, -47987171, 43:9a:fb:23:37:2a, , -90, 11
19/07/2026 17:32:44, -15826396, -47987171, f9:08:15:aa:31:fd, , -93, 
19/07/2026 17:32:44, -15826396, -47987171, da:db:c6:d4:c8:f9, , -90, 
19/07/2026 17:32:47, -15826398, -47987170, c9:b7:af:9e:d0:69, , -95, 
19/07/2026 17:32:51, -15826399, -47987173, 51:c1:5a:f1:1e:20, , -98, 12
19/07/2026 17:33:10, -15826403, -47987170, 5c:c3:68:99:e0:86, , -93, 12
---, 0, 0, 04:e4:b6:fc:42:ca, 50" Crystal UHD, -82, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -72, 
---, 0, 0, f9:08:15:aa:31:fd, , -90, 
---, 0, 0, da:db:c6:d4:c8:f9, , -93, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -92, 
19/07/2026 17:33:19, -15826402, -47987171, c9:b7:af:9e:d0:69, , -90, 
19/07/2026 17:33:35, -15826406, -47987172, 45:8c:8d:82:43:1d, , -97, 
19/07/2026 17:33:41, -15826409, -47987164, 43:9a:fb:23:37:2a, , -96, 11
---, 0, 0, 04:e4:b6:fc:42:ca, , -83, 
---, 0, 0, 43:9a:fb:23:37:2a, , -93, 11
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -93, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -72, 
---, 0, 0, da:db:c6:d4:c8:f9, , -95, 
19/07/2026 17:33:58, -15826413, -47987162, c7:bf:ed:7b:af:96, , -98, 
19/07/2026 17:34:00, -15826413, -47987162, c9:b7:af:9e:d0:69, , -95, 
19/07/2026 17:34:09, -15826408, -47987166, 78:46:64:15:a3:1c, , -100, 12
19/07/2026 17:34:12, -15826404, -47987170, f9:08:15:aa:31:fd, , -91, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -74, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -84, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -94, 
19/07/2026 17:34:36, -15826400, -47987159, c9:b7:af:9e:d0:69, , -91, 
19/07/2026 17:34:37, -15826401, -47987157, 43:9a:fb:23:37:2a, , -90, 11
19/07/2026 17:34:39, -15826403, -47987153, da:db:c6:d4:c8:f9, , -91, 
19/07/2026 17:34:40, -15826404, -47987152, f9:08:15:aa:31:fd, , -92, 
19/07/2026 17:34:48, -15826415, -47987143, 10:c7:15:2a:cd:73, , -99, 
19/07/2026 17:34:52, -15826419, -47987134, 7c:2e:00:aa:34:86, , -97, 12
19/07/2026 17:34:57, -15826425, -47987117, 78:46:64:15:a3:1c, , -103, 12
19/07/2026 17:34:58, -15826425, -47987115, 0f:79:aa:7e:9a:96, , -97, 
19/07/2026 17:35:03, -15826425, -47987113, c7:bf:ed:7b:af:96, , -98, 
---, 0, 0, 43:9a:fb:23:37:2a, , -94, 11
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -71, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -81, 
---, 0, 0, da:db:c6:d4:c8:f9, , -91, 
---, 0, 0, c7:bf:ed:7b:af:96, , -97, 
19/07/2026 17:35:15, -15826415, -47987131, cb:28:15:79:72:90, Amazfit GTR 2, -90, 
19/07/2026 17:35:24, -15826411, -47987154, 35:99:9a:da:e3:f7, , -98, 
19/07/2026 17:35:25, -15826412, -47987153, f9:08:15:aa:31:fd, , -95, 
19/07/2026 17:35:26, -15826412, -47987153, c9:b7:af:9e:d0:69, , -94, 
19/07/2026 17:35:40, -15826403, -47987131, 78:46:64:15:a3:1c, , -101, 12
19/07/2026 17:35:40, -15826403, -47987131, 15:54:af:56:35:63, , -98, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -74, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -81, 
---, 0, 0, 43:9a:fb:23:37:2a, , -98, 11
19/07/2026 17:35:53, -15826399, -47987122, c9:b7:af:9e:d0:69, , -94, 
19/07/2026 17:35:53, -15826399, -47987122, cb:28:15:79:72:90, Amazfit GTR 2, -90, 
19/07/2026 17:35:54, -15826398, -47987120, da:db:c6:d4:c8:f9, , -91, 
19/07/2026 17:35:57, -15826397, -47987107, f9:08:15:aa:31:fd, , -95, 
19/07/2026 17:36:03, -15826395, -47987110, 78:46:64:15:a3:1c, , -100, 12
19/07/2026 17:36:17, -15826398, -47987117, 35:99:9a:da:e3:f7, , -93, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -83, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -69, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -93, 
19/07/2026 17:36:33, -15826408, -47987111, da:db:c6:d4:c8:f9, , -88, 
19/07/2026 17:36:37, -15826408, -47987113, 35:99:9a:da:e3:f7, , -97, 
19/07/2026 17:36:38, -15826409, -47987112, 15:54:af:56:35:63, , -97, 
19/07/2026 17:36:40, -15826409, -47987111, 78:46:64:15:a3:1c, , -98, 12
19/07/2026 17:36:40, -15826409, -47987111, f9:08:15:aa:31:fd, , -96, 
19/07/2026 17:36:41, -15826409, -47987111, c7:bf:ed:7b:af:96, , -98, 
19/07/2026 17:36:42, -15826408, -47987111, c9:b7:af:9e:d0:69, , -98, 
19/07/2026 17:36:48, -15826404, -47987111, 54:d0:25:19:6e:e7, , -93, 12
19/07/2026 17:36:49, -15826405, -47987111, e2:4b:45:c9:be:ae, , -93, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -84, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -94, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -70, 
19/07/2026 17:37:10, -15826408, -47987117, 54:d0:25:19:6e:e7, , -88, 12
19/07/2026 17:37:12, -15826409, -47987117, e2:4b:45:c9:be:ae, , -89, 
19/07/2026 17:37:13, -15826409, -47987118, da:db:c6:d4:c8:f9, , -92, 
19/07/2026 17:37:15, -15826407, -47987123, c7:bf:ed:7b:af:96, , -101, 
19/07/2026 17:37:16, -15826407, -47987124, 78:46:64:15:a3:1c, , -99, 12
19/07/2026 17:37:16, -15826407, -47987124, c9:b7:af:9e:d0:69, , -91, 
19/07/2026 17:37:18, -15826407, -47987124, 43:9a:fb:23:37:2a, , -92, 11
19/07/2026 17:37:20, -15826407, -47987123, ef:9a:9c:a6:fb:05, , -101, 
19/07/2026 17:37:22, -15826408, -47987119, 5b:88:02:81:bb:07, , -96, 12
19/07/2026 17:37:25, -15826409, -47987122, 15:54:af:56:35:63, , -100, 
19/07/2026 17:37:25, -15826409, -47987122, 03:a2:82:6c:a6:98, , -98, 
19/07/2026 17:37:32, -15826404, -47987133, 35:99:9a:da:e3:f7, , -96, 
---, 0, 0, 04:e4:b6:fc:42:ca, 50" Crystal UHD, -80, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -68, 
---, 0, 0, 5b:88:02:81:bb:07, , -99, 12
---, 0, 0, c9:b7:af:9e:d0:69, , -97, 
19/07/2026 17:37:47, -15826431, -47987123, cb:28:15:79:72:90, Amazfit GTR 2, -96, 
19/07/2026 17:37:48, -15826430, -47987124, e2:4b:45:c9:be:ae, , -92, 
19/07/2026 17:37:54, -15826436, -47987110, 03:a2:82:6c:a6:98, , -96, 
19/07/2026 17:37:54, -15826436, -47987110, da:db:c6:d4:c8:f9, , -92, 
19/07/2026 17:37:56, -15826444, -47987108, 15:54:af:56:35:63, , -97, 
19/07/2026 17:37:56, -15826444, -47987108, 35:99:9a:da:e3:f7, , -97, 
19/07/2026 17:37:56, -15826444, -47987108, 78:46:64:15:a3:1c, , -99, 12
19/07/2026 17:38:01, -15826435, -47987099, 50:6f:8b:92:2a:bf, , -99, 12
19/07/2026 17:38:04, -15826438, -47987094, ef:9a:9c:a6:fb:05, , -96, 
19/07/2026 17:38:07, -15826448, -47987084, c7:bf:ed:7b:af:96, , -98, 
19/07/2026 17:38:10, -15826453, -47987078, 55:0c:3f:6a:37:1b, , -99, 8
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -77, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -80, 
---, 0, 0, 15:54:af:56:35:63, , -97, 
---, 0, 0, 35:99:9a:da:e3:f7, , -95, 
---, 0, 0, 43:9a:fb:23:37:2a, , -95, 11
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -91, 
19/07/2026 17:38:26, -15826468, -47987072, 03:a2:82:6c:a6:98, , -99, 
19/07/2026 17:38:26, -15826468, -47987072, e2:4b:45:c9:be:ae, , -87, 
19/07/2026 17:38:27, -15826468, -47987076, 54:d0:25:19:6e:e7, , -91, 12
19/07/2026 17:38:29, -15826467, -47987082, c9:b7:af:9e:d0:69, , -97, 
19/07/2026 17:38:30, -15826461, -47987086, da:db:c6:d4:c8:f9, , -98, 
19/07/2026 17:38:32, -15826465, -47987079, 35:e0:e4:5f:91:9a, , -100, 
19/07/2026 17:38:43, -15826430, -47987109, 34:e8:ca:8c:ea:4c, , -97, 
19/07/2026 17:38:47, -15826415, -47987128, 5b:88:02:81:bb:07, , -102, 12
---, 0, 0, 04:e4:b6:fc:42:ca, , -83, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -78, 
---, 0, 0, 15:54:af:56:35:63, , -96, 
---, 0, 0, 43:9a:fb:23:37:2a, , -94, 11
---, 0, 0, c9:b7:af:9e:d0:69, , -93, 
---, 0, 0, 35:99:9a:da:e3:f7, , -95, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -87, 
19/07/2026 17:39:04, -15826396, -47987168, da:db:c6:d4:c8:f9, , -93, 
19/07/2026 17:39:06, -15826397, -47987169, e2:4b:45:c9:be:ae, , -95, 
19/07/2026 17:39:10, -15826399, -47987167, 35:e0:e4:5f:91:9a, , -98, 
19/07/2026 17:39:11, -15826399, -47987167, 5b:88:02:81:bb:07, , -97, 12
19/07/2026 17:39:16, -15826389, -47987181, 78:46:64:15:a3:1c, , -99, 12
19/07/2026 17:39:27, -15826382, -47987193, 1f:40:79:1b:d2:4f, , -98, 
19/07/2026 17:39:29, -15826382, -47987193, 10:72:6d:dc:da:89, , -101, 
---, 0, 0, 04:e4:b6:fc:42:ca, 50" Crystal UHD, -82, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -73, 
---, 0, 0, 35:e0:e4:5f:91:9a, , -99, 
19/07/2026 17:39:42, -15826386, -47987196, da:db:c6:d4:c8:f9, , -96, 
19/07/2026 17:39:42, -15826386, -47987196, cb:28:15:79:72:90, Amazfit GTR 2, -92, 
19/07/2026 17:39:46, -15826388, -47987179, 15:54:af:56:35:63, , -97, 
19/07/2026 17:39:46, -15826388, -47987179, 35:99:9a:da:e3:f7, , -97, 
19/07/2026 17:39:46, -15826388, -47987179, e2:4b:45:c9:be:ae, , -94, 
19/07/2026 17:39:52, -15826393, -47987171, 43:9a:fb:23:37:2a, , -100, 11
19/07/2026 17:39:57, -15826396, -47987173, 78:46:64:15:a3:1c, , -100, 12
19/07/2026 17:40:01, -15826394, -47987167, c9:b7:af:9e:d0:69, , -94, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -84, 
---, 0, 0, 43:9a:fb:23:37:2a, , -95, 11
---, 0, 0, c9:b7:af:9e:d0:69, , -94, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -89, 
19/07/2026 17:40:20, -15826388, -47987133, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -74, 
19/07/2026 17:40:20, -15826388, -47987133, e2:4b:45:c9:be:ae, , -92, 
19/07/2026 17:40:20, -15826388, -47987133, 35:e0:e4:5f:91:9a, , -99, 
19/07/2026 17:40:24, -15826387, -47987130, 15:54:af:56:35:63, , -95, 
19/07/2026 17:40:26, -15826391, -47987123, 35:99:9a:da:e3:f7, , -95, 
19/07/2026 17:40:26, -15826391, -47987123, da:db:c6:d4:c8:f9, , -92, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -87, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -77, 
---, 0, 0, 35:99:9a:da:e3:f7, , -94, 
---, 0, 0, 43:9a:fb:23:37:2a, , -90, 11
---, 0, 0, 54:d0:25:19:6e:e7, , -90, 12
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -73, 
---, 0, 0, da:db:c6:d4:c8:f9, , -94, 
19/07/2026 17:40:59, -15826389, -47987083, e2:4b:45:c9:be:ae, , -91, 
19/07/2026 17:40:59, -15826389, -47987083, c9:b7:af:9e:d0:69, , -96, 
19/07/2026 17:41:02, -15826390, -47987081, 37:cc:a2:2c:7c:d7, , -97, 
19/07/2026 17:41:04, -15826395, -47987070, 15:54:af:56:35:63, , -94, 
---, 0, 0, 54:d0:25:19:6e:e7, , -98, 12
---, 0, 0, 04:e4:b6:fc:42:ca, , -80, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -87, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -74, 
19/07/2026 17:41:37, -15826437, -47987080, c9:b7:af:9e:d0:69, , -100, 
19/07/2026 17:41:38, -15826435, -47987084, 2d:fd:1d:b0:30:45, , -92, 
19/07/2026 17:41:38, -15826435, -47987084, e2:4b:45:c9:be:ae, , -88, 
19/07/2026 17:41:40, -15826434, -47987088, 15:54:af:56:35:63, , -97, 
19/07/2026 17:41:40, -15826434, -47987088, da:db:c6:d4:c8:f9, , -98, 
19/07/2026 17:41:40, -15826434, -47987088, 35:99:9a:da:e3:f7, , -98, 
19/07/2026 17:41:42, -15826433, -47987091, 43:9a:fb:23:37:2a, , -96, 11
19/07/2026 17:41:44, -15826432, -47987095, c7:bf:ed:7b:af:96, , -100, 
19/07/2026 17:41:52, -15826423, -47987111, 37:cc:a2:2c:7c:d7, , -100, 
19/07/2026 17:41:54, -15826430, -47987109, 78:46:64:15:a3:1c, , -100, 12
---, 0, 0, 54:d0:25:19:6e:e7, , -84, 12
---, 0, 0, 2d:fd:1d:b0:30:45, , -98, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -82, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -69, 
---, 0, 0, da:db:c6:d4:c8:f9, , -97, 
---, 0, 0, e2:4b:45:c9:be:ae, , -85, 
19/07/2026 17:42:15, -15826395, -47987116, c9:b7:af:9e:d0:69, , -93, 
19/07/2026 17:42:16, -15826393, -47987117, cb:28:15:79:72:90, Amazfit GTR 2, -92, 
19/07/2026 17:42:16, -15826393, -47987117, 43:9a:fb:23:37:2a, , -92, 11
19/07/2026 17:42:19, -15826390, -47987116, 15:54:af:56:35:63, , -97, 
19/07/2026 17:42:19, -15826390, -47987116, 35:99:9a:da:e3:f7, , -94, 
19/07/2026 17:42:33, -15826394, -47987113, 66:03:b1:ef:33:df, , -97, 12
---, 0, 0, 43:9a:fb:23:37:2a, , -98, 11
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -88, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -82, 
---, 0, 0, e2:4b:45:c9:be:ae, , -93, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -73, 
19/07/2026 17:42:54, -15826392, -47987123, c9:b7:af:9e:d0:69, , -98, 
19/07/2026 17:42:55, -15826392, -47987117, 2d:fd:1d:b0:30:45, , -98, 
19/07/2026 17:42:56, -15826391, -47987115, 15:54:af:56:35:63, , -95, 
19/07/2026 17:42:58, -15826392, -47987116, 35:99:9a:da:e3:f7, , -93, 
19/07/2026 17:43:02, -15826395, -47987116, da:db:c6:d4:c8:f9, , -98, 
---, 0, 0, da:db:c6:d4:c8:f9, , -98, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -81, 
---, 0, 0, 43:9a:fb:23:37:2a, , -90, 11
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -73, 
---, 0, 0, e2:4b:45:c9:be:ae, , -88, 
19/07/2026 17:43:32, -15826399, -47987107, cb:28:15:79:72:90, Amazfit GTR 2, -92, 
19/07/2026 17:43:32, -15826399, -47987107, 42:3a:4d:23:ac:2a, , -97, 
19/07/2026 17:43:32, -15826399, -47987107, d7:e1:30:a3:fc:1f, , -99, 
19/07/2026 17:43:34, -15826401, -47987107, 38:86:3c:c6:cd:aa, , -96, 
19/07/2026 17:43:34, -15826401, -47987107, 15:54:af:56:35:63, , -95, 
19/07/2026 17:43:34, -15826401, -47987107, 6b:b4:84:9c:25:9b, , -87, 
19/07/2026 17:43:36, -15826402, -47987111, c9:b7:af:9e:d0:69, , -94, 
19/07/2026 17:43:39, -15826399, -47987111, 2d:fd:1d:b0:30:45, , -95, 
19/07/2026 17:43:43, -15826393, -47987113, 76:ad:49:3a:27:f5, , -99, 12
19/07/2026 17:43:46, -15826392, -47987119, 37:cc:a2:2c:7c:d7, , -96, 
19/07/2026 17:43:46, -15826392, -47987119, 3b:6e:7b:7f:74:94, , -95, 
19/07/2026 17:43:54, -15826396, -47987129, 22:f8:22:8e:15:0e, , -97, 
19/07/2026 17:43:56, -15826399, -47987131, 25:34:3e:b8:87:51, , -94, 
---, 0, 0, 04:e4:b6:fc:42:ca, 50" Crystal UHD, -82, 
---, 0, 0, 3b:6e:7b:7f:74:94, , -93, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -70, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -90, 
19/07/2026 17:44:10, -15826400, -47987141, e2:4b:45:c9:be:ae, , -89, 
19/07/2026 17:44:10, -15826400, -47987141, c9:b7:af:9e:d0:69, , -93, 
19/07/2026 17:44:13, -15826394, -47987145, 43:9a:fb:23:37:2a, , -92, 11
19/07/2026 17:44:14, -15826393, -47987146, da:db:c6:d4:c8:f9, , -93, 
19/07/2026 17:44:14, -15826393, -47987146, 38:86:3c:c6:cd:aa, , -94, 
19/07/2026 17:44:21, -15826388, -47987150, 50:68:a9:54:f0:3c, , -96, 11
19/07/2026 17:44:24, -15826388, -47987151, 34:ec:a1:3f:44:d3, , -98, 
19/07/2026 17:44:26, -15826388, -47987154, 35:e0:e4:5f:91:9a, , -97, 
19/07/2026 17:44:36, -15826390, -47987154, 56:48:3a:ca:d7:51, , -93, 12
---, 0, 0, 35:e0:e4:5f:91:9a, , -100, 
---, 0, 0, 04:e4:b6:fc:42:ca, 50" Crystal UHD, -89, 
---, 0, 0, 34:ec:a1:3f:44:d3, , -92, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -74, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -87, 
19/07/2026 17:44:48, -15826391, -47987139, e2:4b:45:c9:be:ae, , -91, 
19/07/2026 17:44:48, -15826391, -47987139, da:db:c6:d4:c8:f9, , -94, 
19/07/2026 17:44:48, -15826391, -47987139, c9:b7:af:9e:d0:69, , -92, 
19/07/2026 17:44:50, -15826392, -47987138, 38:86:3c:c6:cd:aa, , -100, 
19/07/2026 17:44:57, -15826397, -47987129, 50:68:a9:54:f0:3c, , -98, 11
19/07/2026 17:45:00, -15826399, -47987127, cd:7a:06:e7:0d:f7, , -90, 
19/07/2026 17:45:00, -15826399, -47987127, 3b:6e:7b:7f:74:94, , -97, 
19/07/2026 17:45:01, -15826400, -47987124, df:49:a5:ca:b4:4f, , -99, 
19/07/2026 17:45:01, -15826400, -47987124, 37:cc:a2:2c:7c:d7, , -103, 
19/07/2026 17:45:04, -15826401, -47987131, fe:7d:20:b1:25:21, , -94, 
19/07/2026 17:45:16, -15826395, -47987099, 5e:f8:de:3c:90:11, , -99, 12
---, 0, 0, 07:76:3e:11:cd:58, , -96, 
---, 0, 0, 39:2c:0f:45:dc:a1, , -97, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -73, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -90, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -86, 
---, 0, 0, 1d:6d:a5:2e:9d:01, , -97, 
19/07/2026 17:45:27, -15826396, -47987085, cd:7a:06:e7:0d:f7, , -96, 
19/07/2026 17:45:27, -15826396, -47987085, df:49:a5:ca:b4:4f, , -92, 
19/07/2026 17:45:27, -15826396, -47987085, 34:ec:a1:3f:44:d3, , -94, 
19/07/2026 17:45:33, -15826391, -47987105, fe:7d:20:b1:25:21, , -91, 
19/07/2026 17:45:44, -15826387, -47987096, 37:cc:a2:2c:7c:d7, , -97, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -82, 
---, 0, 0, 07:76:3e:11:cd:58, , -97, 
---, 0, 0, 39:2c:0f:45:dc:a1, , -94, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -72, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -86, 
---, 0, 0, 34:ec:a1:3f:44:d3, , -98, 
---, 0, 0, cd:7a:06:e7:0d:f7, , -93, 
19/07/2026 17:46:06, -15826382, -47987074, 1d:6d:a5:2e:9d:01, , -98, 
19/07/2026 17:46:07, -15826383, -47987076, df:49:a5:ca:b4:4f, , -92, 
19/07/2026 17:46:14, -15826381, -47987099, 72:9f:f0:0b:78:a7, , -96, 11
19/07/2026 17:46:14, -15826381, -47987099, fe:7d:20:b1:25:21, , -92, 
19/07/2026 17:46:16, -15826383, -47987112, 72:bf:f8:00:bc:76, , -100, 12
19/07/2026 17:46:27, -15826386, -47987121, cb:45:02:60:c2:26, , -99, 
19/07/2026 17:46:29, -15826387, -47987131, 37:cc:a2:2c:7c:d7, , -96, 
---, 0, 0, 72:9f:f0:0b:78:a7, , -89, 11
---, 0, 0, 04:e4:b6:fc:42:ca, , -82, 
---, 0, 0, 50:68:a9:54:f0:3c, , -92, 11
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -86, 
---, 0, 0, fe:7d:20:b1:25:21, , -91, 
19/07/2026 17:46:43, -15826381, -47987085, cd:7a:06:e7:0d:f7, , -90, 
19/07/2026 17:46:43, -15826381, -47987085, 34:ec:a1:3f:44:d3, , -101, 
19/07/2026 17:46:44, -15826381, -47987083, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -76, 
19/07/2026 17:46:44, -15826381, -47987083, 3d:5a:67:d7:29:51, , -97, 
19/07/2026 17:46:46, -15826381, -47987083, df:49:a5:ca:b4:4f, , -94, 
19/07/2026 17:46:53, -15826390, -47987092, 03:a4:b8:6f:cd:34, , -104, 
19/07/2026 17:46:53, -15826390, -47987092, 37:cc:a2:2c:7c:d7, , -90, 
19/07/2026 17:47:01, -15826395, -47987090, 76:fa:72:72:09:48, , -103, 8
19/07/2026 17:47:03, -15826397, -47987087, 0f:ab:06:fe:26:8c, , -98, 
19/07/2026 17:47:06, -15826399, -47987090, 56:48:3a:ca:d7:51, , -96, 12
19/07/2026 17:47:10, -15826397, -47987092, 72:bf:f8:00:bc:76, , -98, 12
---, 0, 0, 04:e4:b6:fc:42:ca, , -81, 
---, 0, 0, 50:68:a9:54:f0:3c, , -89, 11
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -75, 
19/07/2026 17:47:21, -15826395, -47987110, cd:7a:06:e7:0d:f7, , -89, 
19/07/2026 17:47:21, -15826395, -47987110, fe:7d:20:b1:25:21, , -91, 
19/07/2026 17:47:21, -15826395, -47987110, cb:28:15:79:72:90, Amazfit GTR 2, -90, 
19/07/2026 17:47:23, -15826394, -47987114, 56:48:3a:ca:d7:51, , -88, 12
19/07/2026 17:47:24, -15826394, -47987115, 3d:5a:67:d7:29:51, , -96, 
